Orden,Dependencia,Atencion,Recibio del cer,Entrego al cer,Folio,Entrada,Equipo,Marca,Modelo,Serie,Unidad,Delegacion,Accesorios,Falla,Ticket,Status,Reparacion,Salida,Reparacion,Servicio,Reporte,LinkR,,linkO,Descarga
A24,ALUMBRADO PUBLICO,,,,DGOP/SGEOM/2190,12-Jan,MOVIL,KENWOOD,NX740H,B9A10127,38,OPERATIVA,,,,ENTRAGADO,18-Jan,18-Jan,CER,INSTALACION,"SE PROGRAMO RADIO CON CAN OPERARIVO DE A.P. , Y SE REALIZO LA INTALACION EN UNIDAD OPERATIVA DE DIR. ",http://10.90.111.119:5000/resguardo/A24,http://10.90.111.119:5000/resguardo/A24,http://10.90.111.119:5000/orden/A24,http://10.90.111.119:5000/orden/A24
A25,ALUMBRADO PUBLICO,,,,DGOP/SGEOM/2190,12-Jan,MOVIL,KENWOOD,NX740H,B9B10116,39,OPERATIVA,,,,ENTRAGADO,18-Jan,18-Jan,CER,INSTALACION,"SE PROGRAMO RADIO CON CAN OPERARIVO DE A.P. , Y SE REALIZO LA INTALACION EN UNIDAD OPERATIVA DE DIR. ",http://10.90.111.119:5000/resguardo/A25,http://10.90.111.119:5000/resguardo/A25,http://10.90.111.119:5000/orden/A25,http://10.90.111.119:5000/orden/A25
A26,ALUMBRADO PUBLICO,,,,DGOP/SGEOM/2190,12-Jan,MOVIL,KENWOOD,NX740H,B9B10118,40,OPERATIVA,,,,ENTRAGADO,18-Jan,18-Jan,CER,INSTALACION,"SE PROGRAMO RADIO CON CAN OPERARIVO DE A.P. , Y SE REALIZO LA INTALACION EN UNIDAD OPERATIVA DE DIR. ",http://10.90.111.119:5000/resguardo/A26,http://10.90.111.119:5000/resguardo/A26,http://10.90.111.119:5000/orden/A26,http://10.90.111.119:5000/orden/A26
A27,ALUMBRADO PUBLICO,,,,DGOP/SGEOM/2190,12-Jan,MOVIL,KENWOOD,NX740H,B9B10120,41,OPERATIVA,,,,ENTRAGADO,18-Jan,18-Jan,CER,INSTALACION,"SE PROGRAMO RADIO CON CAN OPERARIVO DE A.P. , Y SE REALIZO LA INTALACION EN UNIDAD OPERATIVA DE DIR. ",http://10.90.111.119:5000/resguardo/A27,http://10.90.111.119:5000/resguardo/A27,http://10.90.111.119:5000/orden/A27,http://10.90.111.119:5000/orden/A27
A28,ALUMBRADO PUBLICO,,,,DGOP/SGEOM/2190,12-Jan,MOVIL,KENWOOD,TK7102,B9B10120,31,OPERATIVA,,,,ENTRAGADO,18-Jan,18-Jan,CER,INSTALACION,"SE PROGRAMO RADIO CON CAN OPERARIVO DE A.P. , Y SE REALIZO LA INTALACION EN UNIDAD OPERATIVA DE DIR. ",http://10.90.111.119:5000/resguardo/A28,http://10.90.111.119:5000/resguardo/A28,http://10.90.111.119:5000/orden/A28,http://10.90.111.119:5000/orden/A28
A29,ALUMBRADO PUBLICO,,,,DGOP/SGEOM/2190,12-Jan,PORTATIL,KENWOOD,NX1200NX,70402997,SUPERVISION,OPERATIVA,,,,ENTRAGADO,18-Jan,18-Jan,CER,PROGRAMACION,SE PROGRAMAO RADIO CON CANAL OPERATIVO DE LA DIR. DE ALUMBRADO PUBLICO ,http://10.90.111.119:5000/resguardo/A29,http://10.90.111.119:5000/resguardo/A29,http://10.90.111.119:5000/orden/A29,http://10.90.111.119:5000/orden/A29
A30,ALUMBRADO PUBLICO,,,,DGOP/SGEOM/2190,12-Jan,PORTATIL,KENWOOD,NX1200NX,B9B11370,SUPERVISION,OPERATIVA,,,,ENTRAGADO,18-Jan,18-Jan,CER,PROGRAMACION,SE PROGRAMAO RADIO CON CANAL OPERATIVO DE LA DIR. DE ALUMBRADO PUBLICO ,http://10.90.111.119:5000/resguardo/A30,http://10.90.111.119:5000/resguardo/A30,http://10.90.111.119:5000/orden/A30,http://10.90.111.119:5000/orden/A30
A31,ALUMBRADO PUBLICO,,,,DGOP/SGEOM/2190,12-Jan,PORTATIL,KENWOOD,NX1200NX,C0716847,SUPERVISION,OPERATIVA,,,,ENTRAGADO,18-Jan,18-Jan,CER,PROGRAMACION,SE PROGRAMAO RADIO CON CANAL OPERATIVO DE LA DIR. DE ALUMBRADO PUBLICO ,http://10.90.111.119:5000/resguardo/A31,http://10.90.111.119:5000/resguardo/A31,http://10.90.111.119:5000/orden/A31,http://10.90.111.119:5000/orden/A31
A32,ALUMBRADO PUBLICO,,,,DGOP/SGEOM/2190,12-Jan,PORTATIL,KENWOOD,NX1200NX,B9B11368,SUPERVISION,OPERATIVA,,,,ENTRAGADO,18-Jan,18-Jan,CER,PROGRAMACION,SE PROGRAMAO RADIO CON CANAL OPERATIVO DE LA DIR. DE ALUMBRADO PUBLICO ,http://10.90.111.119:5000/resguardo/A32,http://10.90.111.119:5000/resguardo/A32,http://10.90.111.119:5000/orden/A32,http://10.90.111.119:5000/orden/A32
A33,ALUMBRADO PUBLICO,,,,DGOP/SGEOM/2190,12-Jan,MOVIL,MOTOROLA,SM50,682FCC0284,32,OPERATIVA,,,,ENTRAGADO,18-Jan,18-Jan,CER,INSTALACION,"SE PROGRAMO RADIO CON CAN OPERARIVO DE A.P. , Y SE REALIZO LA INTALACION EN UNIDAD OPERATIVA DE DIR. ",http://10.90.111.119:5000/resguardo/A33,http://10.90.111.119:5000/resguardo/A33,http://10.90.111.119:5000/orden/A33,http://10.90.111.119:5000/orden/A33
